number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.060836309836231e+31,1.0365630306467144e+25,6.055697280468872e+28
4.51414937599285e+31,1.1971286259012573e+25,6.7318152204457525e+28
5.0180659928147745e+31,1.3861912224272108e+25,7.483436246229541e+28
5.578235058450139e+31,1.6092035967765037e+25,8.318994806801317e+28
6.200936060202744e+31,1.8552832910106723e+25,9.247826262060046e+28
6.893149467495936e+31,2.144495201455773e+25,1.0280385604262734e+29
7.662634982836114e+31,2.485346133241568e+25,1.1428261925340755e+29
8.5180185279681e+31,2.8696045924628216e+25,1.27042941544568e+29
9.468888940335896e+31,3.311442507453386e+25,1.4122812693286383e+29
1.0525905463814841e+32,3.8312438704360937e+25,1.5699759432818145e+29
1.1700917238684692e+32,4.4312717519394025e+25,1.745280438851698e+29
1.3007096130324601e+32,5.105614318666733e+25,1.9401568723445862e+29
1.4459084385637734e+32,5.897588084848707e+25,2.156799229857219e+29
1.607315877243198e+32,6.83030806407914e+25,2.3976400276189772e+29
1.7867413041756895e+32,7.549247903523836e+25,2.6653682919697357e+29
1.9861960758597074e+32,8.717569684551226e+25,2.962996150579703e+29
2.2079160774651202e+32,1.005765747884351e+26,3.2938605038831416e+29
2.4543867870743362e+32,1.1603478089860622e+26,3.661675655363398e+29
2.7283711378564613e+32,1.3392935082454148e+26,4.070570711260465e+29
3.0329404905090462e+32,1.5448722474129577e+26,4.525130465227334e+29
3.3715090631680756e+32,1.7815217004371423e+26,5.0304566871035645e+29
3.747872204744985e+32,2.0554006745183358e+26,5.5922241485183194e+29
4.166248940734284e+32,2.3705352104972457e+26,6.216733382458647e+29
4.6313292684296864e+32,2.732634202097889e+26,6.910991624501126e+29
5.148326731727442e+32,3.151610744311512e+26,7.682798353115308e+29
5.723036864879687e+32,3.634389782727225e+26,8.540812364447712e+29
6.3619021603514445e+32,4.188211899853657e+26,9.494657728456065e+29
7.072084289070056e+32,4.828911499261143e+26,1.0555054882743466e+30
7.861544382654988e+32,5.568133283389546e+26,1.1733904325296709e+30
8.739132277590696e+32,6.15952344920467e+26,1.3044417748819822e+30
9.714685721768473e+32,6.913356580799804e+26,1.450129232430372e+30
1.079914065550117e+33,7.967219757708844e+26,1.6120904942435077e+30
1.200465380325946e+33,9.182787891822863e+26,1.7921445978536815e+30
1.3344738950381215e+33,1.0581223530686854e+27,1.9923122339313684e+30
1.4834418432414048e+33,1.2194754468153094e+27,2.214842156705065e+30
1.6490391535284345e+33,1.4050219224297387e+27,2.4622315978980773e+30
1.8331221694056335e+33,1.619158224880102e+27,2.737260650937185e+30
2.037754458877664e+33,1.7864463008917852e+27,3.0430088120750733e+30
2.2652299470155757e+33,2.0584132315856586e+27,3.382915677726506e+30
2.5180986308244136e+33,2.3719581105760506e+27,3.76079984764813e+30
2.799195164673578e+33,2.7330374447903245e+27,4.180904735821342e+30
3.111670636732223e+33,3.1479428963484005e+27,4.647946448730743e+30
3.459027892623063e+33,3.626039974892521e+27,5.167174556475502e+30
3.845160802272273e+33,4.177002017343997e+27,5.744422481102497e+30
4.2743979101362895e+33,4.8119875366189956e+27,6.386176018527062e+30
4.75155095812395e+33,5.543856619744148e+27,7.099646359591369e+30
5.281968825155249e+33,6.387419767294131e+27,7.892851324880137e+30
5.871597488018382e+33,7.356343610422285e+27,8.774695316020076e+30
6.527046675685454e+33,8.472156075187416e+27,9.755095627931033e+30
7.255663964280783e+33,9.31536190384505e+27,1.0845063547504868e+31
8.065617143305341e+33,1.0729215643385593e+28,1.2056817165126391e+31
8.965985776441549e+33,1.2358811129012926e+28,1.340401251412869e+31
9.966862983333756e+33,1.4236580511274903e+28,1.4901793894982314e+31
1.1079468583316714e+34,1.6395158135570155e+28,1.656698622164117e+31
1.2316274869431648e+34,1.8882413543017706e+28,1.8418327449977444e+31
1.369114642265486e+34,2.174891304174207e+28,2.047663830160759e+31
1.521949553365441e+34,2.5052775799687983e+28,2.2765070391185183e+31
1.6918454974350529e+34,2.8485507747156133e+28,2.5309336486791246e+31
1.8807070056046546e+34,3.1575112468685194e+28,2.8137933483692225e+31
2.0906512127099295e+34,3.6367205431349305e+28,3.128277071768186e+31
2.3240315903434746e+34,4.18810223649477e+28,3.477922689965126e+31
2.5834643292380714e+34,4.823480021794286e+28,3.8666665553237474e+31
2.871857666727804e+34,5.5555827538441115e+28,4.298883320606395e+31
3.1924444880474437e+34,6.397649943390341e+28,4.7794332226881885e+31
3.5488185669302103e+34,6.965534904849289e+28,5.3137056502600365e+31
3.944974851760502e+34,8.022655951964016e+28,5.907713256893728e+31
4.38535424888878e+34,9.238816552734481e+28,6.568153082406343e+31
4.874893405128963e+34,1.0639730487781247e+29,7.302464830866144e+31
5.419080047499388e+34,1.2254714346375543e+29,8.118920888335913e+31
6.024014500565085e+34,1.4111208140062713e+29,9.026701668695169e+31
6.696478070989871e+34,1.625209371309305e+29,1.0036049322670262e+32
7.444009065888161e+34,1.8718319157721505e+29,1.115832966621561e+32
8.274987297141101e+34,1.96628049607415e+29,1.2406057849697846e+32
9.198728018969256e+34,2.2644788601157388e+29,1.3793307445049644e+32
1.022558635180068e+35,2.607978729231498e+29,1.5335775262365614e+32
1.1367073363024476e+35,3.0032908587310488e+29,1.7050833999387705e+32
1.2635985105893436e+35,3.4586762129012445e+29,1.895782163457994e+32
1.4046546063100037e+35,3.8216690978476764e+29,2.1078132046273434e+32
1.5614568603026263e+35,4.401254180063413e+29,2.343567170747825e+32
1.7357630236169552e+35,4.879916390958684e+29,2.605704174110779e+32
1.929527065878687e+35,5.583784958898189e+29,2.897161114188433e+32
