number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
1.4083242356579525e+38,2.318606231342788e+33,2.146792222082125e+35
1.5542084140386464e+38,3.620730665017944e+33,2.372315725874945e+35
1.7152043067269957e+38,5.541489185831134e+33,2.622832619856211e+35
1.8928772919007514e+38,8.328798078336156e+33,2.9016716716780286e+35
2.0889549006734247e+38,1.2337070382309869e+34,3.2128215456068255e+35
2.3053436140414745e+38,1.8072112756993206e+34,3.561157807664599e+35
2.544147399778002e+38,2.6201566927810004e+34,3.952622963153039e+35
2.807688169508912e+38,3.756872508282887e+34,4.3946005252744824e+35
3.09852835487762e+38,5.313696683833041e+34,4.89625429653295e+35
3.419495822308459e+38,7.3862480787996695e+34,5.46863942027679e+35
3.773711368617387e+38,1.0061695790674758e+35,6.12483378510911e+35
4.164619064812385e+38,1.3417782482956314e+35,6.880151551886196e+35
4.596019743119173e+38,1.7523746472192723e+35,7.752406555051073e+35
5.0721079528297324e+38,2.2452022818919296e+35,8.761655565289061e+35
5.597512744298836e+38,2.8281538731003416e+35,9.930993019635814e+35
6.177342677635173e+38,3.509944482950986e+35,1.1286823874082763e+36
6.817235493710859e+38,4.3007716034050014e+35,1.28591967859775e+36
7.523412930445149e+38,5.21297172231722e+35,1.4682429568407255e+36
8.302741217346298e+38,6.260479856888747e+35,1.6795818584324935e+36
9.162797836505598e+38,7.458458482744422e+35,1.92440435161093e+36
1.01119451991671e+39,8.825939374136458e+35,2.2078465236117098e+36
1.1159411954237116e+39,1.0384122485987954e+36,2.5357805357966615e+36
1.2315382719303871e+39,1.2156734046236123e+36,2.91489530612448e+36
1.359109710663037e+39,1.4170802336923767e+36,3.352816561593856e+36
1.4998959006959514e+39,1.6458552066521303e+36,3.8583568132836704e+36
1.6552657193708207e+39,1.90558567300023e+36,4.4415483674963646e+36
1.8267298420196264e+39,2.2002396101826224e+36,5.1137242006376757e+36
2.0159554304027067e+39,2.5345447131201945e+36,5.888034230054816e+36
2.2247823426790545e+39,2.9138460829249726e+36,6.779492723709759e+36
2.455241022519907e+39,3.344154662399743e+36,7.805160914907649e+36
2.7095722413031685e+39,3.8322319646255397e+36,8.9843651669585e+36
2.990248885343861e+39,4.386070388116894e+36,1.0339656472498403e+37
3.299999999999908e+39,5.0146122997992945e+36,1.1896569334745365e+37
