number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
2.2688873653185337e+37,3.1999489911320786e+31,3.423577348367764e+34
2.4660442314972545e+37,3.743483528709705e+31,3.7213753666043926e+34
2.680333208540349e+37,4.432680677003905e+31,4.0451018483712977e+34
2.913243005557259e+37,5.311281779817329e+31,4.397026857958962e+34
3.1663916942812194e+37,6.436152710961988e+31,4.779618826690879e+34
3.4415379501427013e+37,7.8808419609951425e+31,5.195569112754361e+34
3.7405932701453384e+37,9.129687804433677e+31,5.647824625096019e+34
4.065635252424406e+37,1.0840759901404378e+32,6.139481631710417e+34
4.4189220297436485e+37,1.3609873928292983e+32,6.674033066069054e+34
4.80290795720288e+37,1.7174226318412384e+32,7.255307763382079e+34
5.220260663142084e+37,2.1752357927805035e+32,7.887444313347849e+34
5.673879581698075e+37,2.7632694495677943e+32,8.57496151936839e+34
6.166916095763188e+37,3.517493599806632e+32,9.322801599500829e+34
6.702795430283211e+37,4.483557951667847e+32,1.0136366180048307e+35
7.285240447991776e+37,5.720047830979939e+32,1.1021579306129607e+35
7.918297512894981e+37,7.299171442625678e+32,1.1984926095712901e+35
8.606364601185177e+37,9.31544774364104e+32,1.3033540359785592e+35
9.354221854876098e+37,1.1883162033628709e+33,1.4175245808222691e+35
1.0167064790421714e+38,1.5153511748103952e+33,1.5418695167346336e+35
1.1050540393025785e+38,1.9307391127672624e+33,1.6773387142705567e+35
1.201078634739667e+38,2.458330922274887e+33,1.8249851053105303e+35
1.305447367749137e+38,3.127465929089266e+33,1.9859825127372657e+35
1.4188853091475839e+38,3.959241359878756e+33,2.1616172266279087e+35
1.5421805353869388e+38,4.989986336905812e+33,2.353317977194562e+35
1.6761896034818748e+38,6.283588786544297e+33,2.562681150407688e+35
1.8218435016856068e+38,7.913032210054679e+33,2.7914991388336285e+35
1.98015411725465e+38,9.968316288691959e+33,3.0417898949218876e+35
2.152221266235406e+38,1.2562448600754994e+34,3.3158370205093295e+35
2.3392403341099363e+38,1.5838382043341071e+34,3.616235745849272e+35
2.5425105803820475e+38,1.99735801896684e+34,3.945932550297826e+35
2.7634441647973276e+38,2.5194581715600726e+34,4.3083275806548905e+35
3.0035759579041325e+38,3.178104690200537e+34,4.707303338944113e+35
3.2645742041114725e+38,4.008988877044236e+34,5.1473909238425614e+35
3.5482521113222394e+38,5.056161849128536e+34,5.6338209275158284e+35
3.856580447657309e+38,6.375773501227819e+34,6.172752069954667e+35
4.19170123278253e+38,8.036991003627815e+34,6.771373684174235e+35
4.555942618955027e+38,1.0127760229259583e+35,7.438238023025093e+35
4.951835065170463e+38,1.275671221869482e+35,8.183415664519168e+35
5.3821289167763786e+38,1.606103696956373e+35,9.018989863521407e+35
5.849813512680738e+38,2.0211127616299094e+35,9.959362905351243e+35
6.358137952897342e+38,2.5420502608484106e+35,1.1021876157966569e+36
6.910633670704488e+38,3.19558757163501e+35,1.2227463949097204e+36
7.511138966230239e+38,4.014912157446773e+35,1.3601407136660187e+36
8.163825671904114e+38,5.04166273146358e+35,1.517454057355404e+36
8.873228135025523e+38,6.327392604768371e+35,1.6984200860550424e+36
9.644274718796722e+38,7.936941007078063e+35,1.907628336988018e+36
1.0482322040664406e+39,9.95037467242475e+35,2.1506538136623445e+36
1.139319218583064e+39,1.246839518950998e+36,2.43439296542705e+36
1.2383213154462951e+39,1.561540389835856e+36,2.767247282375057e+36
1.3459262823598585e+39,1.9547274479402935e+36,3.159616913447872e+36
1.4628816729155252e+39,2.4457540246944337e+36,3.624287386580936e+36
1.5899999999999628e+39,3.058675534388706e+36,4.1770049928871016e+36
